color1,color2,message,couple,reaction,result
Verde,Violeta,negative,true,true,triste
Verde,Añil,negative,true,true,triste
Verde,Naranja,negative,true,true,triste
Verde,Azul,negative,true,true,triste
Verde,Amarillo,positive,false,true,triste
Verde,Violeta,positive,false,true,triste
Verde,Añil,positive,false,true,triste
Verde,Naranja,positive,false,true,triste
Verde,Azul,positive,false,true,triste
Verde,Amarillo,negative,false,true,triste
Verde,Violeta,negative,false,true,triste
Verde,Añil,negative,false,true,triste
Verde,Naranja,negative,false,true,triste
Verde,Azul,negative,false,true,triste
Verde,Amarillo,positive,true,false,triste
Verde,Violeta,positive,true,false,triste
Verde,Añil,positive,true,false,triste
Verde,Naranja,positive,true,false,triste
Verde,Azul,positive,true,false,triste
Verde,Amarillo,negative,true,false,feliz
Verde,Violeta,negative,true,false,feliz
Verde,Añil,negative,true,false,feliz
Verde,Naranja,negative,true,false,feliz
Verde,Azul,negative,true,false,feliz
Verde,Amarillo,positive,false,false,triste
Verde,Violeta,positive,false,false,triste
Verde,Añil,positive,false,false,triste
Verde,Naranja,positive,false,false,triste
Verde,Azul,positive,false,false,triste
Verde,Amarillo,negative,false,false,triste
Verde,Violeta,negative,false,false,triste
Verde,Añil,negative,false,false,triste
Verde,Naranja,negative,false,false,triste
Verde,Azul,negative,false,false,triste
Violeta,Amarillo,positive,true,true,feliz
Violeta,Verde,positive,true,true,feliz
Violeta,Añil,positive,true,true,feliz
Violeta,Naranja,positive,true,true,feliz
Violeta,Azul,positive,true,true,feliz
Violeta,Amarillo,negative,true,true,triste
Violeta,Verde,negative,true,true,triste
Violeta,Añil,negative,true,true,triste
Violeta,Naranja,negative,true,true,triste
Violeta,Azul,negative,true,true,triste
Violeta,Amarillo,positive,false,true,triste
Violeta,Verde,positive,false,true,triste
Violeta,Añil,positive,false,true,triste
Violeta,Naranja,positive,false,true,triste
Violeta,Azul,positive,false,true,triste
Violeta,Amarillo,negative,false,true,triste
Violeta,Verde,negative,false,true,triste
Violeta,Añil,negative,false,true,triste
Violeta,Naranja,negative,false,true,triste
Violeta,Azul,negative,false,true,triste
Violeta,Amarillo,positive,true,false,triste
Violeta,Verde,positive,true,false,triste
Violeta,Añil,positive,true,false,triste
Violeta,Naranja,positive,true,false,triste
Violeta,Azul,positive,true,false,triste
Violeta,Amarillo,negative,true,false,feliz
Violeta,Verde,negative,true,false,feliz
Violeta,Añil,negative,true,false,feliz
Violeta,Naranja,negative,true,false,feliz
Violeta,Azul,negative,true,false,feliz
Violeta,Amarillo,positive,false,false,triste
Violeta,Verde,positive,false,false,triste
Violeta,Añil,positive,false,false,triste
Violeta,Naranja,positive,false,false,triste
Violeta,Azul,positive,false,false,triste
Violeta,Amarillo,negative,false,false,triste
Violeta,Verde,negative,false,false,triste
Violeta,Añil,negative,false,false,triste
Violeta,Naranja,negative,false,false,triste
Violeta,Azul,negative,false,false,triste
Añil,Amarillo,positive,true,true,feliz
Añil,Verde,positive,true,true,feliz
Añil,Violeta,positive,true,true,feliz
Añil,Naranja,positive,true,true,feliz
Añil,Azul,positive,true,true,feliz
Añil,Amarillo,negative,true,true,triste
Añil,Verde,negative,true,true,triste
Añil,Violeta,negative,true,true,triste
Añil,Naranja,negative,true,true,triste
Añil,Azul,negative,true,true,triste
Añil,Amarillo,positive,false,true,triste
Añil,Verde,positive,false,true,triste
Añil,Violeta,positive,false,true,triste
Añil,Naranja,positive,false,true,triste
Añil,Azul,positive,false,true,triste
Añil,Amarillo,negative,false,true,triste
Añil,Verde,negative,false,true,triste
Añil,Violeta,negative,false,true,triste
Añil,Naranja,negative,false,true,triste
Añil,Azul,negative,false,true,triste
Añil,Amarillo,positive,true,false,triste
Añil,Verde,positive,true,false,triste
Añil,Violeta,positive,true,false,triste
Añil,Naranja,positive,true,false,triste
Añil,Azul,positive,true,false,triste
Añil,Amarillo,negative,true,false,feliz
Añil,Verde,negative,true,false,feliz
Añil,Violeta,negative,true,false,feliz
Añil,Naranja,negative,true,false,feliz
Añil,Azul,negative,true,false,feliz
Añil,Amarillo,positive,false,false,triste
Añil,Verde,positive,false,false,triste
Añil,Violeta,positive,false,false,triste
Añil,Naranja,positive,false,false,triste
Añil,Azul,positive,false,false,triste
Añil,Amarillo,negative,false,false,triste
Añil,Verde,negative,false,false,triste
Añil,Violeta,negative,false,false,triste
Añil,Naranja,negative,false,false,triste
Añil,Azul,negative,false,false,triste
Naranja,Amarillo,positive,true,true,feliz
Naranja,Verde,positive,true,true,feliz
Naranja,Violeta,positive,true,true,feliz
Naranja,Añil,positive,true,true,feliz
Naranja,Azul,positive,true,true,feliz
Naranja,Amarillo,negative,true,true,triste
Naranja,Verde,negative,true,true,triste
Naranja,Violeta,negative,true,true,triste
Naranja,Añil,negative,true,true,triste
Naranja,Azul,negative,true,true,triste
Naranja,Amarillo,positive,false,true,triste
Naranja,Verde,positive,false,true,triste
Naranja,Violeta,positive,false,true,triste
Naranja,Añil,positive,false,true,triste
Naranja,Azul,positive,false,true,triste
Naranja,Amarillo,negative,false,true,triste
Naranja,Verde,negative,false,true,triste
Naranja,Violeta,negative,false,true,triste
Naranja,Añil,negative,false,true,triste
Naranja,Azul,negative,false,true,triste
Naranja,Amarillo,positive,true,false,triste
Naranja,Verde,positive,true,false,triste
Naranja,Violeta,positive,true,false,triste
Naranja,Añil,positive,true,false,triste
Naranja,Azul,positive,true,false,triste
Naranja,Amarillo,negative,true,false,feliz
Naranja,Verde,negative,true,false,feliz
Naranja,Violeta,negative,true,false,feliz
Naranja,Añil,negative,true,false,feliz
Naranja,Azul,negative,true,false,feliz
Naranja,Amarillo,positive,false,false,triste
Naranja,Verde,positive,false,false,triste
Naranja,Violeta,positive,false,false,triste
Naranja,Añil,positive,false,false,triste
Naranja,Azul,positive,false,false,triste
Naranja,Amarillo,negative,false,false,triste
Naranja,Verde,negative,false,false,triste
Naranja,Violeta,negative,false,false,triste
Naranja,Añil,negative,false,false,triste
Naranja,Azul,negative,false,false,triste
Azul,Amarillo,positive,true,true,feliz
Azul,Verde,positive,true,true,feliz
Azul,Violeta,positive,true,true,feliz
Azul,Añil,positive,true,true,feliz
Azul,Naranja,positive,true,true,feliz
Azul,Amarillo,negative,true,true,triste
Azul,Verde,negative,true,true,triste
Azul,Violeta,negative,true,true,triste
Azul,Añil,negative,true,true,triste
Azul,Naranja,negative,true,true,triste
Azul,Amarillo,positive,false,true,triste
Azul,Verde,positive,false,true,triste
Azul,Violeta,positive,false,true,triste
Azul,Añil,positive,false,true,triste
Azul,Naranja,positive,false,true,triste
Azul,Amarillo,negative,false,true,triste
Azul,Verde,negative,false,true,triste
Azul,Violeta,negative,false,true,triste
Azul,Añil,negative,false,true,triste
Azul,Naranja,negative,false,true,triste
Azul,Amarillo,positive,true,false,triste
Azul,Verde,positive,true,false,triste
Azul,Violeta,positive,true,false,triste
Azul,Añil,positive,true,false,triste
Azul,Naranja,positive,true,false,triste
Azul,Amarillo,negative,true,false,feliz
Azul,Verde,negative,true,false,feliz
Azul,Violeta,negative,true,false,feliz
Azul,Añil,negative,true,false,feliz
Azul,Naranja,negative,true,false,feliz
Azul,Amarillo,positive,false,false,triste
Azul,Verde,positive,false,false,triste
Azul,Violeta,positive,false,false,triste
Azul,Añil,positive,false,false,triste
Azul,Naranja,positive,false,false,triste
Azul,Amarillo,negative,false,false,triste
Azul,Verde,negative,false,false,triste
Azul,Violeta,negative,false,false,triste
Azul,Añil,negative,false,false,triste
Azul,Naranja,negative,false,false,triste
Rojo,Verde,positive,true,true,feliz
Amarillo,Azul,negative,true,false,feliz
Violeta,Amarillo,positive,false,false,feliz
Azul,Violeta,negative,false,false,triste
Naranja,Añil,positive,true,true,feliz
Verde,Naranja,negative,false,true,feliz
Rojo,Añil,positive,false,true,feliz
Amarillo,Verde,negative,true,false,triste
Violeta,Naranja,positive,true,false,feliz
Azul,Amarillo,negative,false,true,triste
Amarillo,Azul,positive,true,false,triste
Verde,Violeta,negative,false,true,feliz
Rojo,Naranja,negative,true,true,triste
Añil,Amarillo,negative,true,false,triste
Amarillo,Verde,positive,false,false,triste
Violeta,Azul,negative,true,false,feliz
Rojo,Amarillo,negative,false,true,feliz
Naranja,Amarillo,positive,true,false,feliz
Verde,Azul,negative,false,false,feliz
Añil,Naranja,positive,false,true,triste
Rojo,Verde,negative,true,true,feliz
Amarillo,Añil,positive,false,false,triste
Violeta,Verde,negative,true,false,feliz
Azul,Rojo,positive,true,true,triste
Naranja,Verde,negative,false,false,triste
